episode_id,label,n_events,n_entities,entity_ids,start,end,span_days,note
lm-021,lateral_movement,4,1,usr-0313,2026-05-19 05:51:42.704906,2026-05-19 06:46:32.935669,0.038,"usr-0313 walks 4 novel resources from corporate, reaching sensitivity 4"
lm-022,lateral_movement,10,1,usr-0034,2026-05-06 11:36:17.846754,2026-05-06 13:34:58.993617,0.082,"usr-0034 walks 10 novel resources from data, reaching sensitivity 4"
lm-023,lateral_movement,4,1,usr-0081,2026-05-06 01:43:54.375177,2026-05-06 02:16:23.468292,0.023,"usr-0081 walks 4 novel resources from engineering, reaching sensitivity 4"
lm-024,lateral_movement,10,1,usr-0237,2026-05-08 13:47:21.343306,2026-05-08 16:32:06.212982,0.114,"usr-0237 walks 10 novel resources from data, reaching sensitivity 4"
lm-025,lateral_movement,10,1,svc-0343,2026-05-08 01:53:37.163503,2026-05-08 04:10:59.243305,0.095,"svc-0343 walks 10 novel resources from data, reaching sensitivity 4"
lm-026,lateral_movement,11,1,usr-0207,2026-05-12 14:11:38.079516,2026-05-12 18:07:58.747308,0.164,"usr-0207 walks 11 novel resources from engineering, reaching sensitivity 4"
ds-001,device_spoofing,8,1,usr-0144,2026-05-28 10:53:47.786078,2026-05-28 18:18:50.393119,0.309,usr-0144 presents cloned hardware (macOS 15 Sequoia) from Tokyo for 8 sessions
ds-002,device_spoofing,7,1,usr-0058,2026-05-07 21:51:08.398463,2026-05-08 03:41:34.305512,0.243,usr-0058 presents cloned hardware (Ubuntu 22.04 LTS) from Dubai for 7 sessions
ds-003,device_spoofing,5,1,usr-0321,2026-05-11 16:24:31.610139,2026-05-11 21:17:04.872268,0.203,usr-0321 presents cloned hardware (Ubuntu 22.04 LTS) from Seoul for 5 sessions
ds-004,device_spoofing,5,1,dev-0459,2026-05-13 15:32:39.231884,2026-05-13 20:51:45.352535,0.222,dev-0459 presents cloned hardware (FreeRTOS 10.6) from Jakarta for 5 sessions
ds-005,device_spoofing,8,1,dev-0489,2026-05-08 12:31:00.007709,2026-05-08 17:23:16.536623,0.203,dev-0489 presents cloned hardware (Zephyr RTOS 3.6) from Hyderabad for 8 sessions
ds-006,device_spoofing,4,1,dev-0466,2026-05-22 03:33:04.671829,2026-05-22 05:43:30.060278,0.091,dev-0466 presents cloned hardware (FreeRTOS 10.6) from Singapore for 4 sessions
ds-007,device_spoofing,7,1,usr-0045,2026-05-10 16:18:56.721572,2026-05-11 01:52:52.790550,0.399,usr-0045 presents cloned hardware (macOS 15 Sequoia) from Bengaluru for 7 sessions
ds-008,device_spoofing,7,1,svc-0330,2026-05-09 05:41:36.361036,2026-05-09 11:22:51.614601,0.237,svc-0330 presents cloned hardware (Alpine 3.20 (container)) from Caracas for 7 sessions
ds-009,device_spoofing,3,1,usr-0167,2026-05-06 05:20:36.842930,2026-05-06 06:23:49.007674,0.044,usr-0167 presents cloned hardware (Windows 11 23H2) from New York for 3 sessions
ds-010,device_spoofing,8,1,usr-0299,2026-05-30 12:18:23.044514,2026-05-30 17:54:44.025918,0.234,usr-0299 presents cloned hardware (Windows 10 22H2) from Mumbai for 8 sessions
ds-011,device_spoofing,4,1,usr-0115,2026-05-15 08:52:26.317945,2026-05-15 13:17:55.101134,0.184,usr-0115 presents cloned hardware (macOS 14 Sonoma) from Jakarta for 4 sessions
ds-012,device_spoofing,7,1,usr-0007,2026-05-14 17:20:14.209937,2026-05-14 21:19:33.024666,0.166,usr-0007 presents cloned hardware (Windows 10 22H2) from London for 7 sessions
ds-013,device_spoofing,6,1,usr-0235,2026-05-06 00:51:23.465532,2026-05-06 06:12:16.472327,0.223,usr-0235 presents cloned hardware (macOS 15 Sequoia) from Seoul for 6 sessions
ds-014,device_spoofing,4,1,svc-0338,2026-05-13 16:31:43.743476,2026-05-13 20:29:02.217602,0.165,svc-0338 presents cloned hardware (RHEL 9 (vm)) from Singapore for 4 sessions
ls-001,low_and_slow_exfiltration,30,1,svc-0352,2026-05-03 00:57:20.235770,2026-05-12 13:19:26.872680,9.515,svc-0352 drains db/prod/customers/db/prod/telemetry/db/prod/transactions in 3x daily sessions across 10 days
ls-002,low_and_slow_exfiltration,18,1,usr-0062,2026-05-18 03:06:35.004385,2026-05-26 09:06:12.482915,8.25,usr-0062 drains db/prod/transactions/finance/ledger/legal/contracts in 2x daily sessions across 9 days
ls-003,low_and_slow_exfiltration,22,1,usr-0259,2026-05-04 06:27:48.279338,2026-05-14 11:54:30.977302,10.227,usr-0259 drains eng/artifacts/releases in 2x daily sessions across 11 days
ls-004,low_and_slow_exfiltration,13,1,svc-0340,2026-05-12 18:03:47.961175,2026-05-24 18:00:19.694525,11.998,svc-0340 drains eng/artifacts/releases in 1x daily sessions across 13 days
ls-005,low_and_slow_exfiltration,11,1,usr-0234,2026-05-10 17:37:05.060370,2026-05-20 17:31:06.671970,9.996,usr-0234 drains db/analytics/sessions in 1x daily sessions across 11 days
ls-006,low_and_slow_exfiltration,18,1,usr-0182,2026-05-17 08:11:12.951412,2026-05-22 20:08:56.540795,5.498,usr-0182 drains hr/payroll/hr/records in 3x daily sessions across 6 days
ls-007,low_and_slow_exfiltration,10,1,usr-0249,2026-05-23 04:55:56.089980,2026-05-27 10:47:31.288377,4.244,usr-0249 drains db/prod/telemetry in 2x daily sessions across 5 days
ls-008,low_and_slow_exfiltration,26,1,usr-0209,2026-05-07 04:02:23.563829,2026-05-19 10:02:09.202304,12.25,usr-0209 drains db/analytics/events in 2x daily sessions across 13 days
ls-009,low_and_slow_exfiltration,10,1,usr-0147,2026-05-16 17:00:34.751361,2026-05-20 23:27:25.507444,4.269,usr-0147 drains db/analytics/sessions in 2x daily sessions across 5 days
ls-010,low_and_slow_exfiltration,42,1,usr-0314,2026-05-01 15:00:22.884942,2026-05-15 03:10:12.460612,13.507,usr-0314 drains ot/historian in 3x daily sessions across 14 days
ls-011,low_and_slow_exfiltration,12,1,usr-0150,2026-05-02 08:14:30.922644,2026-05-07 14:01:24.768787,5.241,usr-0150 drains db/prod/telemetry in 2x daily sessions across 6 days
ls-012,low_and_slow_exfiltration,28,1,svc-0365,2026-05-08 00:31:48.016153,2026-05-21 07:01:31.772874,13.271,svc-0365 drains db/analytics/sessions/db/prod/customers in 2x daily sessions across 14 days
ls-013,low_and_slow_exfiltration,36,1,dev-0483,2026-05-08 13:02:07.109083,2026-05-20 00:59:51.200526,11.498,dev-0483 drains ot/historian in 3x daily sessions across 12 days
ls-014,low_and_slow_exfiltration,10,1,svc-0403,2026-05-21 00:01:38.280804,2026-05-25 06:03:04.571524,4.251,svc-0403 drains finance/invoices/hr/records in 2x daily sessions across 5 days
ls-015,low_and_slow_exfiltration,9,1,svc-0421,2026-05-15 01:44:14.410528,2026-05-23 02:12:33.002870,8.02,svc-0421 drains db/analytics/sessions in 1x daily sessions across 9 days
ls-016,low_and_slow_exfiltration,26,1,usr-0235,2026-05-15 06:09:01.430962,2026-05-27 11:44:48.197424,12.233,usr-0235 drains ot/historian in 2x daily sessions across 13 days
id-001,insider_drift,21,1,usr-0107,2026-05-07 08:04:31,2026-05-14 15:38:31,7.315,"usr-0107 gradually adopts eng/ci/build-runner, db/analytics/sessions, corp/mail, eng/repo/edge-firmware, admin/iam/directory over 10 days, then keeps them permanently"
id-002,insider_drift,15,1,usr-0125,2026-05-02 21:42:06,2026-05-13 10:21:52,10.528,"usr-0125 gradually adopts eng/artifacts/releases, iot/firmware/ota, iot/fleet/registry over 12 days, then keeps them permanently"
id-003,insider_drift,19,1,usr-0195,2026-05-05 14:14:48,2026-05-21 09:38:04,15.808,"usr-0195 gradually adopts eng/repo/edge-firmware, ot/scada/hmi, infra/vault/secrets over 18 days, then keeps them permanently"
id-004,insider_drift,12,1,usr-0226,2026-05-07 12:33:06,2026-05-25 15:26:16,18.12,"usr-0226 gradually adopts db/analytics/sessions, warehouse/exports, admin/iam/directory, infra/vault/secrets over 20 days, then keeps them permanently"
id-005,insider_drift,33,1,usr-0292,2026-05-05 07:46:10,2026-05-21 10:47:51,16.126,"usr-0292 gradually adopts eng/repo/platform-core, ot/historian, db/prod/transactions over 19 days, then keeps them permanently"
id-006,insider_drift,24,1,usr-0185,2026-05-06 11:34:18,2026-05-15 22:25:34,9.452,"usr-0185 gradually adopts db/analytics/sessions, vpn/gateway, db/prod/customers, db/prod/transactions, infra/vault/secrets over 12 days, then keeps them permanently"
id-007,insider_drift,49,1,usr-0213,2026-05-04 07:04:26,2026-05-20 13:01:08,16.248,"usr-0213 gradually adopts corp/ticketing, corp/mail, db/analytics/events, warehouse/exports, hr/records over 18 days, then keeps them permanently"
id-008,insider_drift,27,1,usr-0132,2026-05-05 18:03:07,2026-05-22 11:24:58,16.724,"usr-0132 gradually adopts eng/repo/watchtower, db/analytics/events, iot/telemetry/ingest, db/analytics/sessions, iot/firmware/ota over 20 days, then keeps them permanently"
id-009,insider_drift,48,1,usr-0188,2026-05-05 06:19:03,2026-05-18 19:53:09,13.565,"usr-0188 gradually adopts db/analytics/events, hr/records over 16 days, then keeps them permanently"
id-010,insider_drift,14,1,usr-0148,2026-05-13 09:59:47,2026-05-21 10:15:59,8.011,"usr-0148 gradually adopts ot/historian, eng/repo/edge-firmware, infra/vault/secrets over 12 days, then keeps them permanently"
id-011,insider_drift,15,1,usr-0076,2026-05-11 19:28:10,2026-05-15 13:06:23,3.735,"usr-0076 gradually adopts eng/artifacts/releases, db/analytics/sessions over 11 days, then keeps them permanently"
id-012,insider_drift,30,1,usr-0298,2026-05-03 08:52:02,2026-05-21 13:32:56,18.195,"usr-0298 gradually adopts infra/monitoring, corp/mail, eng/repo/edge-firmware, hr/records, finance/ledger over 19 days, then keeps them permanently"
id-013,insider_drift,23,1,usr-0245,2026-05-09 20:56:00,2026-05-17 18:49:26,7.912,"usr-0245 gradually adopts finance/invoices, db/prod/telemetry, legal/contracts over 10 days, then keeps them permanently"
id-014,insider_drift,18,1,usr-0196,2026-05-04 14:27:34,2026-05-13 12:41:42,8.926,"usr-0196 gradually adopts infra/monitoring, db/analytics/events, infra/k8s/staging, infra/k8s/prod over 10 days, then keeps them permanently"
