event_id,entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint
evt-000612,svc-0350,service_account,2026-05-01 06:35:22,10.13.41.156,"Berlin, DE (52.5200, 13.4050)",eng/repo/platform-core,token,56.98,AUTH_OK|git.clone|pr.review,Alpine 3.20 (container) / fw 6.6.32 / 54:84:4A:44:73:7C
evt-000659,usr-0130,user,2026-05-01 07:01:42,138.146.191.115,"Seoul, KR (37.5665, 126.9780)",infra/k8s/prod,password,1021.93,AUTH_OK|deploy.apply|node.describe|pod.list,macOS 15 Sequoia / fw 24.1.0 / 76:E6:96:C1:81:38
evt-000706,usr-0179,user,2026-05-01 07:20:42,10.10.172.17,"Bengaluru, IN (12.9716, 77.5946)",corp/mail,password,650.85,AUTH_OK|page.view|comment.add|search.query|doc.edit|search.query|search.query|search.query|page.view|comment.add|http.get,Windows 11 23H2 / fw 10.0.22631 / 10:8E:7A:DD:8B:5F
evt-000753,usr-0032,user,2026-05-01 07:42:30,211.158.28.68,"Paris, FR (48.8566, 2.3522)",eng/artifacts/releases,password,1447.79,AUTH_OK|fs.download|fs.download|fs.stat|fs.search,Windows 11 23H2 / fw 10.0.22631 / 0A:6F:7D:56:EB:87
evt-000800,usr-0154,user,2026-05-01 08:01:53,19.99.35.177,"Dublin, IE (53.3498, -6.2603)",corp/mail,token,788.84,AUTH_OK|page.view|comment.add|doc.edit|doc.edit,macOS 14 Sonoma / fw 23.5.0 / 7A:25:6F:82:6A:3D
evt-000847,usr-0251,user,2026-05-01 08:17:50,220.255.100.91,"Toronto, CA (43.6532, -79.3832)",infra/k8s/prod,password,1405.79,AUTH_OK|pod.exec|pod.logs|node.describe|pod.list|pod.list|job.run,macOS 15 Sequoia / fw 24.1.0 / 70:A0:2B:CF:62:FB
evt-000894,usr-0313,user,2026-05-01 08:31:44,136.126.67.112,"Berlin, DE (52.5200, 13.4050)",corp/ticketing,password,803.87,AUTH_OK|search.query|search.query|page.view|comment.add|page.view|search.query,Windows 10 22H2 / fw 10.0.19045 / DC:32:9C:4A:71:FA
evt-000941,usr-0078,user,2026-05-01 08:43:31,67.192.56.206,"New York, US (40.7128, -74.0060)",eng/repo/watchtower,password,1392.05,AUTH_OK|git.clone|git.log|git.log|git.clone|git.clone|code.search|pr.review|git.push|git.clone|code.search,macOS 15 Sequoia / fw 24.1.0 / 80:91:07:D2:13:5F
evt-000988,usr-0322,user,2026-05-01 08:56:26,212.90.244.8,"Warsaw, PL (52.2297, 21.0122)",corp/ticketing,biometric,450.3,AUTH_OK|doc.edit|doc.edit|search.query|http.get|comment.add,Windows 10 22H2 / fw 10.0.19045 / 5C:EC:1A:DB:2D:9D
evt-001037,svc-0395,service_account,2026-05-01 09:10:43,10.12.140.61,"London, GB (51.5074, -0.1278)",admin/iam/directory,certificate,125.86,AUTH_FAIL|AUTH_FAIL|AUTH_OK|iam.list_roles|iam.list_roles|iam.describe|iam.list_users|iam.whoami|iam.whoami,Alpine 3.20 (container) / fw 6.6.32 / AA:A9:79:AA:90:9B
evt-001085,svc-0378,service_account,2026-05-01 09:21:03,10.10.238.27,"Bengaluru, IN (12.9716, 77.5946)",infra/monitoring,token,26.1,AUTH_OK|http.get|page.view|search.query,RHEL 9 (vm) / fw 5.14.0 / 5A:E6:CD:14:C0:40
evt-001133,usr-0174,user,2026-05-01 09:33:55,174.69.28.219,"Tel Aviv, IL (32.0853, 34.7818)",corp/ticketing,password,973.01,AUTH_OK|search.query|doc.edit|search.query|page.view|search.query|doc.edit,macOS 15 Sequoia / fw 24.1.0 / B8:C8:F8:F4:C7:F2
evt-001181,usr-0320,user,2026-05-01 09:46:50,93.74.159.147,"Sao Paulo, BR (-23.5505, -46.6333)",hr/records,biometric,438.76,AUTH_OK|fs.download|fs.list|fs.search|fs.list|fs.read|fs.download|fs.read|fs.download,Fedora 40 / fw 6.8.9 / 5C:C6:3E:6B:28:BA
evt-001229,svc-0424,service_account,2026-05-01 09:58:11,10.13.166.70,"Berlin, DE (52.5200, 13.4050)",db/analytics/sessions,token,56.54,AUTH_OK|db.count|db.export|db.export,Debian 12 (container) / fw 6.1.0 / BA:65:C7:D2:81:F1
evt-001277,dev-0450,edge_device,2026-05-01 10:07:04,10.10.53.158,"Bengaluru, IN (12.9716, 77.5946)",hr/payroll,certificate,47.89,AUTH_OK|fs.download|fs.download|fs.read|fs.list|fs.download,FreeRTOS 10.6 / fw 10.6.1 / 32:E1:80:90:60:AE
evt-001326,usr-0150,user,2026-05-01 10:20:05,10.17.26.76,"Singapore, SG (1.3521, 103.8198)",db/prod/telemetry,token,883.91,AUTH_OK|db.count|db.connect|db.select|db.explain|db.count|db.select|db.connect|db.describe,Windows 11 23H2 / fw 10.0.22631 / BC:1C:D7:3F:76:E3
evt-001373,usr-0020,user,2026-05-01 10:31:31,208.25.39.55,"Bogota, CO (4.7110, -74.0721)",eng/artifacts/releases,password,241.3,AUTH_OK|fs.upload|fs.list|fs.upload|fs.upload|fs.search|fs.list,macOS 15 Sequoia / fw 24.1.0 / 80:5C:96:0E:2D:CD
evt-001422,usr-0146,user,2026-05-01 10:44:29,155.177.162.29,"Sao Paulo, BR (-23.5505, -46.6333)",eng/repo/edge-firmware,biometric,417.38,AUTH_OK|pr.review|git.push|git.log|git.fetch|code.search|git.fetch,macOS 15 Sequoia / fw 24.1.0 / 3C:04:ED:01:48:01
evt-001470,usr-0298,user,2026-05-01 10:55:56,215.108.172.44,"Seattle, US (47.6062, -122.3321)",db/analytics/events,password,347.81,AUTH_OK|db.select|db.count|db.explain|db.select|db.describe|db.count|db.connect|db.count|db.describe,macOS 14 Sonoma / fw 23.5.0 / 8E:1D:A0:12:6C:C6
evt-001517,usr-0007,user,2026-05-01 11:05:08,213.210.191.146,"Hyderabad, IN (17.3850, 78.4867)",admin/iam/directory,password,250.15,AUTH_OK|iam.list_users|iam.describe|iam.list_roles|iam.describe,Windows 10 22H2 / fw 10.0.19045 / BA:E8:77:CC:30:3E
evt-001565,dev-0442,edge_device,2026-05-01 11:15:22,10.14.45.60,"Amsterdam, NL (52.3676, 4.9041)",iot/fleet/registry,certificate,62.05,AUTH_OK|tel.publish|tel.publish|tel.batch|tel.batch|cfg.pull,Yocto Kirkstone / fw 4.1.12-rt / 7E:8A:1F:A0:14:15
evt-001613,svc-0378,service_account,2026-05-01 11:26:28,10.10.238.27,"Bengaluru, IN (12.9716, 77.5946)",infra/k8s/staging,token,92.43,AUTH_OK|pod.list|pod.list|pod.exec|pod.logs|pod.list,RHEL 9 (vm) / fw 5.14.0 / 5A:E6:CD:14:C0:40
evt-001660,usr-0205,user,2026-05-01 11:36:26,216.33.101.54,"Seoul, KR (37.5665, 126.9780)",eng/repo/watchtower,token,574.17,AUTH_OK|git.fetch|pr.review|code.search|git.fetch,Windows 11 23H2 / fw 10.0.22631 / E2:AD:88:62:10:45
evt-001709,svc-0385,service_account,2026-05-01 11:49:31,10.14.140.125,"Amsterdam, NL (52.3676, 4.9041)",vpn/gateway,token,51.1,AUTH_OK|vpn.disconnect|vpn.connect|vpn.status|vpn.disconnect|vpn.disconnect|vpn.disconnect,Debian 12 (container) / fw 6.1.0 / E0:7B:15:83:B0:C8
evt-001757,dev-0455,edge_device,2026-05-01 12:01:38,10.17.117.125,"Singapore, SG (1.3521, 103.8198)",ot/historian,certificate,23.81,AUTH_OK|db.export|db.select|db.count|db.select|db.select|db.export|db.count|db.count|db.count,Zephyr RTOS 3.6 / fw 3.6.0 / 62:C0:DA:01:DC:46
evt-001804,svc-0378,service_account,2026-05-01 12:13:09,10.10.238.27,"Bengaluru, IN (12.9716, 77.5946)",infra/monitoring,certificate,168.19,AUTH_OK|search.query|comment.add|doc.edit,RHEL 9 (vm) / fw 5.14.0 / 5A:E6:CD:14:C0:40
evt-001853,dev-0499,edge_device,2026-05-01 12:26:26,10.14.52.86,"Amsterdam, NL (52.3676, 4.9041)",infra/k8s/prod,certificate,81.84,AUTH_OK|job.run|deploy.apply|node.describe,Zephyr RTOS 3.6 / fw 3.6.0 / 3A:BF:22:0B:6F:65
evt-001901,dev-0464,edge_device,2026-05-01 12:35:55,10.14.168.128,"Amsterdam, NL (52.3676, 4.9041)",infra/vault/secrets,password,16.36,AUTH_OK|secret.list|secret.lease|secret.list,Yocto Kirkstone / fw 4.1.12-rt / F8:6C:13:3B:F9:A0
evt-001948,usr-0082,user,2026-05-01 12:49:57,67.192.56.206,"New York, US (40.7128, -74.0060)",db/prod/telemetry,password,965.8,AUTH_OK|db.connect|db.count|db.export|db.explain|db.connect|db.connect|db.explain,macOS 15 Sequoia / fw 24.1.0 / 86:6E:49:0E:C2:9B
evt-001995,svc-0380,service_account,2026-05-01 12:59:56,10.14.112.131,"Amsterdam, NL (52.3676, 4.9041)",infra/monitoring,certificate,70.86,AUTH_OK|doc.edit|comment.add|http.get|comment.add|doc.edit,RHEL 9 (vm) / fw 5.14.0 / 94:27:A7:B3:0E:21
evt-002042,svc-0341,service_account,2026-05-01 13:11:07,10.10.188.157,"Bengaluru, IN (12.9716, 77.5946)",infra/vault/secrets,token,38.6,AUTH_OK|secret.list|policy.read|secret.read|secret.list,RHEL 9 (vm) / fw 5.14.0 / 36:8B:5A:FB:7D:C8
evt-002089,usr-0040,user,2026-05-01 13:28:10,198.84.198.42,"Seattle, US (47.6062, -122.3321)",db/analytics/sessions,biometric,486.7,AUTH_OK|db.select|db.count|db.select|db.describe|db.select|db.select|db.count|db.export,Fedora 40 / fw 6.8.9 / EE:84:66:F0:5F:9A
evt-002136,usr-0059,user,2026-05-01 13:41:42,68.135.50.8,"Seoul, KR (37.5665, 126.9780)",vpn/gateway,biometric,3182.99,AUTH_OK|vpn.disconnect|route.show|vpn.connect|vpn.disconnect|route.show|vpn.status|vpn.status|vpn.connect|vpn.disconnect|vpn.connect|vpn.status|route.show|vpn.status,Windows 11 23H2 / fw 10.0.22631 / 4C:6E:53:79:A1:48
evt-002183,svc-0360,service_account,2026-05-01 13:50:20,10.10.169.99,"Bengaluru, IN (12.9716, 77.5946)",db/prod/customers,token,113.02,AUTH_OK|db.explain,Alpine 3.20 (container) / fw 6.6.32 / EA:BD:9D:B1:A6:49
evt-002230,usr-0127,user,2026-05-01 14:06:26,10.11.52.219,"Hyderabad, IN (17.3850, 78.4867)",hr/records,password,448.83,AUTH_OK|fs.list|fs.search|fs.upload|fs.search|fs.read|fs.upload|fs.stat|fs.read|fs.read|fs.upload|fs.download|fs.search|fs.upload|fs.download,Fedora 40 / fw 6.8.9 / 50:EC:BC:18:1F:16
evt-002277,usr-0047,user,2026-05-01 14:21:25,10.16.115.176,"Austin, US (30.2672, -97.7431)",admin/iam/directory,password,1117.04,AUTH_OK|iam.whoami|iam.whoami|iam.list_roles|iam.list_users|iam.whoami|iam.whoami|iam.list_roles|iam.list_users|iam.whoami|iam.list_roles|iam.list_users,macOS 14 Sonoma / fw 23.5.0 / C4:4E:F2:DD:65:44
evt-002324,svc-0360,service_account,2026-05-01 14:40:19,10.10.169.99,"Bengaluru, IN (12.9716, 77.5946)",db/analytics/events,token,42.08,AUTH_OK|db.explain,Alpine 3.20 (container) / fw 6.6.32 / EA:BD:9D:B1:A6:49
evt-002371,usr-0238,user,2026-05-01 14:54:48,10.14.146.71,"Amsterdam, NL (52.3676, 4.9041)",vpn/gateway,password,76.57,AUTH_OK|vpn.status|vpn.status|vpn.status|vpn.status|route.show|vpn.status|vpn.connect|vpn.status|vpn.disconnect|vpn.status|vpn.connect,Fedora 40 / fw 6.8.9 / B2:B0:CC:76:68:47
evt-002419,svc-0408,service_account,2026-05-01 15:14:17,10.14.151.122,"Amsterdam, NL (52.3676, 4.9041)",infra/k8s/staging,token,85.8,AUTH_FAIL|AUTH_FAIL|AUTH_OK|pod.exec|node.describe|job.run|node.describe|node.describe|node.describe|pod.exec,Alpine 3.20 (container) / fw 6.6.32 / 5C:66:06:5F:01:3D
evt-002466,usr-0039,user,2026-05-01 15:31:00,160.201.113.216,"Sao Paulo, BR (-23.5505, -46.6333)",hr/payroll,password,320.78,AUTH_OK|fs.list|fs.download|fs.upload|fs.search|fs.stat|fs.search|fs.search|fs.download|fs.list|fs.search|fs.upload|fs.upload|fs.download,macOS 15 Sequoia / fw 24.1.0 / 3C:52:C5:61:FC:7E
evt-002513,dev-0429,edge_device,2026-05-01 15:50:08,10.17.58.231,"Singapore, SG (1.3521, 103.8198)",ot/historian,certificate,21.87,AUTH_OK|db.export|db.describe|db.explain,Zephyr RTOS 3.6 / fw 3.6.0 / 8C:5C:20:DA:47:DA
evt-002560,svc-0376,service_account,2026-05-01 16:10:49,10.13.101.175,"Berlin, DE (52.5200, 13.4050)",eng/ci/build-runner,token,30.12,AUTH_OK|node.describe|pod.exec|deploy.apply|pod.exec|pod.exec|job.run|pod.logs|node.describe,RHEL 9 (vm) / fw 5.14.0 / 2C:DE:B4:CE:AB:B8
evt-002607,svc-0419,service_account,2026-05-01 16:37:16,10.14.174.151,"Amsterdam, NL (52.3676, 4.9041)",eng/repo/platform-core,token,115.99,AUTH_OK|git.log|git.fetch|git.push|git.fetch|pr.review|git.push|git.log|git.push,Alpine 3.20 (container) / fw 6.6.32 / E2:1E:19:1B:7F:96
evt-002654,usr-0287,user,2026-05-01 16:55:23,199.48.101.201,"Dubai, AE (25.2048, 55.2708)",eng/repo/platform-core,password,593.07,AUTH_OK|git.push|git.fetch|git.clone|git.clone|git.fetch|git.push|git.push|git.log|pr.review,Ubuntu 22.04 LTS / fw 5.15.0 / B8:74:9A:E8:E0:C4
evt-002701,svc-0371,service_account,2026-05-01 17:20:20,10.11.109.119,"Hyderabad, IN (17.3850, 78.4867)",iot/firmware/ota,token,49.26,AUTH_OK|tel.heartbeat|fw.version|tel.heartbeat|tel.publish,RHEL 9 (vm) / fw 5.14.0 / 76:17:54:60:CA:E5
evt-002748,dev-0428,edge_device,2026-05-01 17:42:56,10.11.195.63,"Hyderabad, IN (17.3850, 78.4867)",iot/firmware/ota,certificate,28.64,AUTH_OK|tel.publish|tel.heartbeat|fw.version|tel.heartbeat,BuildRoot 2024.02 / fw 5.10.198 / 90:C5:83:8A:BD:6E
evt-002796,usr-0171,user,2026-05-01 18:10:17,12.149.24.222,"Chicago, US (41.8781, -87.6298)",db/prod/customers,token,225.92,AUTH_OK|db.select|db.export|db.connect|db.connect|db.export|db.explain,Ubuntu 22.04 LTS / fw 5.15.0 / 18:AE:AB:77:CE:D8
evt-002843,svc-0335,service_account,2026-05-01 18:34:16,178.119.146.180,"Amsterdam, NL (52.3676, 4.9041)",db/analytics/sessions,token,14.87,AUTH_OK|db.select|db.export|db.connect|db.count|db.export,Ubuntu 24.04 (container) / fw 6.8.0 / 82:C7:EE:96:95:B2
evt-002890,svc-0370,service_account,2026-05-01 19:05:57,10.13.115.252,"Berlin, DE (52.5200, 13.4050)",db/prod/transactions,token,117.74,AUTH_OK|db.select|db.export|db.describe|db.select|db.count|db.export|db.connect|db.describe|db.select,Ubuntu 24.04 (container) / fw 6.8.0 / 12:18:4C:E0:7D:A2
evt-002937,usr-0035,user,2026-05-01 19:27:13,63.187.238.1,"Bogota, CO (4.7110, -74.0721)",finance/ledger,password,943.17,AUTH_OK|fs.read|fs.read|fs.stat|fs.stat,Fedora 40 / fw 6.8.9 / 5E:93:2C:DB:04:75
evt-002984,dev-0469,edge_device,2026-05-01 19:54:04,10.16.218.123,"Austin, US (30.2672, -97.7431)",infra/k8s/prod,certificate,22.99,AUTH_OK|node.describe|pod.logs|deploy.apply|node.describe|node.describe,Zephyr RTOS 3.6 / fw 3.6.0 / FC:4D:DE:59:0F:FB
evt-003031,usr-0054,user,2026-05-01 20:39:09,191.36.31.126,"Chicago, US (41.8781, -87.6298)",corp/ticketing,password,114.31,AUTH_OK|http.get|comment.add|http.get|search.query|search.query,Ubuntu 22.04 LTS / fw 5.15.0 / 6A:B1:E5:4F:F7:27
evt-003079,dev-0491,edge_device,2026-05-01 21:07:52,10.11.74.243,"Hyderabad, IN (17.3850, 78.4867)",ot/historian,certificate,43.93,AUTH_OK|db.export|db.export|db.count|db.connect|db.export|db.select,Zephyr RTOS 3.6 / fw 3.6.0 / C2:72:12:20:CA:17
evt-003126,svc-0410,service_account,2026-05-01 21:28:22,10.13.175.84,"Berlin, DE (52.5200, 13.4050)",eng/artifacts/releases,token,144.53,AUTH_OK|fs.list|fs.download|fs.download|fs.list,Ubuntu 24.04 (container) / fw 6.8.0 / 06:C5:E9:C3:23:43
evt-003173,usr-0200,user,2026-05-01 22:10:07,10.15.17.180,"New York, US (40.7128, -74.0060)",db/prod/transactions,token,494.37,AUTH_OK|db.explain|db.select|db.explain|db.count|db.export|db.select|db.describe|db.count|db.describe,Windows 11 23H2 / fw 10.0.22631 / 74:D5:A4:5A:08:35
evt-003220,svc-0414,service_account,2026-05-01 22:39:27,10.15.65.110,"New York, US (40.7128, -74.0060)",ot/historian,certificate,101.83,AUTH_FAIL|AUTH_FAIL|AUTH_OK|db.count|db.connect|db.connect|db.select|db.connect|db.count,Debian 12 (container) / fw 6.1.0 / 64:CC:1F:BA:92:C3
evt-003267,dev-0442,edge_device,2026-05-01 23:02:04,10.14.45.60,"Amsterdam, NL (52.3676, 4.9041)",ot/scada/hmi,certificate,62.99,AUTH_OK|fw.version|tel.heartbeat,Yocto Kirkstone / fw 4.1.12-rt / 7E:8A:1F:A0:14:15
evt-003315,svc-0385,service_account,2026-05-01 23:40:28,10.14.140.125,"Amsterdam, NL (52.3676, 4.9041)",vpn/gateway,token,131.05,AUTH_OK|vpn.connect|vpn.disconnect|vpn.connect|vpn.status,Debian 12 (container) / fw 6.1.0 / E0:7B:15:83:B0:C8
evt-003363,svc-0330,service_account,2026-05-02 00:04:52,10.11.161.75,"Hyderabad, IN (17.3850, 78.4867)",eng/ci/build-runner,token,67.23,AUTH_OK|pod.exec|pod.exec|pod.exec|pod.logs,Alpine 3.20 (container) / fw 6.6.32 / 4A:C5:6A:47:91:0E
evt-003410,svc-0349,service_account,2026-05-02 00:44:31,10.16.53.190,"Austin, US (30.2672, -97.7431)",db/analytics/events,token,84.52,AUTH_OK|db.describe|db.count|db.export|db.export|db.export,Alpine 3.20 (container) / fw 6.6.32 / 6C:94:DD:BC:BE:87
evt-003457,dev-0480,edge_device,2026-05-02 01:17:35,10.10.246.139,"Bengaluru, IN (12.9716, 77.5946)",iot/firmware/ota,certificate,57.01,AUTH_OK|tel.heartbeat|tel.batch|fw.version,Yocto Kirkstone / fw 4.1.12-rt / AC:10:ED:2E:DC:14
evt-003504,dev-0466,edge_device,2026-05-02 01:56:45,10.17.85.26,"Singapore, SG (1.3521, 103.8198)",infra/vault/secrets,certificate,41.13,AUTH_OK|secret.read|policy.read|secret.lease|policy.read|secret.list,FreeRTOS 10.6 / fw 10.6.1 / 18:C2:DD:90:EE:1E
evt-003551,dev-0429,edge_device,2026-05-02 02:31:52,10.17.58.231,"Singapore, SG (1.3521, 103.8198)",ot/historian,certificate,33.36,AUTH_OK|db.count|db.select|db.connect|db.connect|db.select|db.explain,Zephyr RTOS 3.6 / fw 3.6.0 / 8C:5C:20:DA:47:DA
evt-003599,svc-0355,service_account,2026-05-02 03:00:36,10.12.250.248,"London, GB (51.5074, -0.1278)",db/analytics/events,certificate,42.76,AUTH_OK|db.export|db.select,Debian 12 (container) / fw 6.1.0 / 20:2A:44:12:74:94
evt-003650,svc-0327,service_account,2026-05-02 03:38:36,10.16.26.27,"Austin, US (30.2672, -97.7431)",db/analytics/events,token,42.51,AUTH_OK|db.connect,Alpine 3.20 (container) / fw 6.6.32 / B2:45:41:5B:CB:AC
evt-003717,dev-0464,edge_device,2026-05-02 04:17:43,10.14.168.128,"Amsterdam, NL (52.3676, 4.9041)",infra/k8s/prod,certificate,22.94,AUTH_OK|job.run|pod.exec|pod.list|pod.list|node.describe,Yocto Kirkstone / fw 4.1.12-rt / F8:6C:13:3B:F9:A0
evt-003778,dev-0438,edge_device,2026-05-02 04:50:19,10.14.162.44,"Amsterdam, NL (52.3676, 4.9041)",infra/k8s/staging,certificate,26.58,AUTH_FAIL|AUTH_FAIL|AUTH_OK|pod.list,Yocto Kirkstone / fw 4.1.12-rt / 38:D4:52:A2:2C:45
evt-003825,dev-0442,edge_device,2026-05-02 05:29:01,10.14.45.60,"Amsterdam, NL (52.3676, 4.9041)",iot/fleet/registry,certificate,63.63,AUTH_OK|cfg.pull|fw.version|tel.publish,Yocto Kirkstone / fw 4.1.12-rt / 7E:8A:1F:A0:14:15
evt-003872,svc-0389,service_account,2026-05-02 06:04:26,10.15.244.28,"New York, US (40.7128, -74.0060)",db/prod/customers,certificate,154.73,AUTH_OK|db.export|db.describe,Alpine 3.20 (container) / fw 6.6.32 / 26:A1:21:85:CA:EE
evt-003919,svc-0410,service_account,2026-05-02 06:33:51,10.13.175.84,"Berlin, DE (52.5200, 13.4050)",eng/artifacts/releases,token,108.44,AUTH_OK|fs.stat|fs.upload,Ubuntu 24.04 (container) / fw 6.8.0 / 06:C5:E9:C3:23:43
evt-003966,svc-0327,service_account,2026-05-02 07:14:38,10.16.26.27,"Austin, US (30.2672, -97.7431)",db/prod/telemetry,certificate,98.09,AUTH_OK|db.explain|db.select|db.count|db.export|db.select,Alpine 3.20 (container) / fw 6.6.32 / B2:45:41:5B:CB:AC
evt-004013,svc-0365,service_account,2026-05-02 07:39:32,10.10.74.185,"Bengaluru, IN (12.9716, 77.5946)",warehouse/exports,token,77.52,AUTH_OK|fs.search|fs.upload|fs.search|fs.upload|fs.download|fs.list|fs.stat,Alpine 3.20 (container) / fw 6.6.32 / DE:89:78:04:24:1E
evt-004060,dev-0485,edge_device,2026-05-02 08:14:04,10.13.168.89,"Berlin, DE (52.5200, 13.4050)",infra/k8s/prod,certificate,30.18,AUTH_OK|pod.exec|job.run|node.describe,FreeRTOS 10.6 / fw 10.6.1 / 6A:34:5F:5C:61:2B
evt-004108,dev-0446,edge_device,2026-05-02 08:39:53,10.11.159.207,"Hyderabad, IN (17.3850, 78.4867)",ot/scada/hmi,certificate,63.95,AUTH_OK|tel.batch|tel.heartbeat,Yocto Kirkstone / fw 4.1.12-rt / 4C:67:8C:CA:26:51
evt-004155,svc-0378,service_account,2026-05-02 09:03:48,10.10.238.27,"Bengaluru, IN (12.9716, 77.5946)",infra/monitoring,token,54.43,AUTH_OK|doc.edit|http.get|doc.edit|page.view|page.view|search.query,RHEL 9 (vm) / fw 5.14.0 / 5A:E6:CD:14:C0:40
evt-004202,svc-0402,service_account,2026-05-02 09:28:57,10.16.96.171,"Austin, US (30.2672, -97.7431)",eng/repo/watchtower,token,124.15,AUTH_OK|git.fetch|code.search|git.fetch|git.log,Ubuntu 24.04 (container) / fw 6.8.0 / F0:C4:0A:CB:81:36
evt-004249,svc-0402,service_account,2026-05-02 09:57:38,10.16.96.171,"Austin, US (30.2672, -97.7431)",eng/artifacts/releases,token,84.54,AUTH_OK|fs.search|fs.search|fs.search|fs.search|fs.download|fs.stat,Ubuntu 24.04 (container) / fw 6.8.0 / F0:C4:0A:CB:81:36
evt-004296,svc-0368,service_account,2026-05-02 10:20:59,10.15.83.240,"New York, US (40.7128, -74.0060)",infra/k8s/prod,token,125.49,AUTH_OK|node.describe|pod.logs|job.run|pod.logs|pod.exec|pod.logs|job.run,Alpine 3.20 (container) / fw 6.6.32 / A6:37:00:86:85:DF
evt-004343,svc-0391,service_account,2026-05-02 10:41:55,10.16.127.194,"Austin, US (30.2672, -97.7431)",infra/vault/secrets,token,64.82,AUTH_OK|policy.read|secret.lease|policy.read|secret.list|secret.lease,Ubuntu 24.04 (container) / fw 6.8.0 / 88:4D:7F:D4:8F:CA
evt-004390,dev-0480,edge_device,2026-05-02 11:07:07,10.10.246.139,"Bengaluru, IN (12.9716, 77.5946)",iot/telemetry/ingest,token,49.5,AUTH_OK|tel.publish|tel.publish|cfg.pull|cfg.pull|cfg.pull,Yocto Kirkstone / fw 4.1.12-rt / AC:10:ED:2E:DC:14
